# GENERATED by tools/genfont/mksymbols.py -- do not edit.
# Joined from lib/MicroTeX/res (vendored) and unicode-math-table.tex.
# codepoint is StaTeX's lookup key, not a claim about the character's identity;
# cp_source=pua means no Unicode codepoint names this glyph.
# unicode_math is filled in only where unicode-math-table.tex disagrees with the
# chosen codepoint. MicroTeX's tables win because they are what the existing
# atlas was built from; the column records the alternative so switching is a
# one-column edit rather than an archaeology exercise.
name	codepoint	cp_source	atomtype	takes_limits	delimiter	face	tfm_font	slot	ttf	unicode_math
AE	0x00C6	microtex	Ordinary	0	0	3	cmti10	192	latin/optional/cmti10.ttf	
Arrownot	0xE000	pua	Relation	0	0	3	stmary10	121	maths/stmary10.ttf	
Bbbk	0x1D55C	unicode-math	Ordinary	0	0	3	msbm10	124	maths/msbm10.ttf	
Box	0xE001	pua	Ordinary	0	0	3	msam10	164	maths/msam10.ttf	
Bumpeq	0x224E	microtex	Relation	0	0	3	msam10	109	maths/msam10.ttf	
Cap	0x22D2	microtex	BinaryOp	0	0	3	msam10	101	maths/msam10.ttf	
Cup	0x22D3	microtex	BinaryOp	0	0	3	msam10	100	maths/msam10.ttf	
Delta	0x0394	microtex	Ordinary	0	0	3	cmr10	162	latin/cmr10.ttf	
Diamond	0x25CA	microtex	Relation	0	0	3	msam10	167	maths/msam10.ttf	
Downarrow	0x21D3	microtex	Relation	0	1	3	cmsy10	43	maths/cmsy10.ttf	
Finv	0x2132	microtex	Ordinary	0	0	3	msbm10	96	maths/msbm10.ttf	
Game	0x2141	microtex	Ordinary	0	0	3	msbm10	97	maths/msbm10.ttf	
Gamma	0x0393	microtex	Ordinary	0	0	3	cmr10	161	latin/cmr10.ttf	
Im	0x2111	microtex	Ordinary	0	0	3	cmsy10	61	maths/cmsy10.ttf	
Lambda	0x039B	microtex	Ordinary	0	0	3	cmr10	164	latin/cmr10.ttf	
Lbag	0xE002	pua	Opening	0	0	3	stmary10	104	maths/stmary10.ttf	
Leftarrow	0x21D0	microtex	Relation	0	0	3	cmsy10	40	maths/cmsy10.ttf	
Leftrightarrow	0x21D4	microtex	Relation	0	0	3	cmsy10	44	maths/cmsy10.ttf	
Lleftarrow	0x21DA	microtex	Relation	0	0	3	msam10	87	maths/msam10.ttf	
Lsh	0x21B0	microtex	Relation	0	0	3	msam10	193	maths/msam10.ttf	
Mapsfromchar	0xE003	pua	Relation	0	0	3	stmary10	124	maths/stmary10.ttf	
Mapstochar	0xE004	pua	Relation	0	0	3	stmary10	122	maths/stmary10.ttf	
